D,d,alpha,z,u,mu_c,w1,w1p,b2,N2_visible,N2_tensor_Phi_0.2,N2_tensor_Phi_0.4,A_visible,A_tensor_Phi_0.2,A_tensor_Phi_0.4
3,1,0.0,3.0,3.387627960192905,17.12809984132014,0.0006630704657467583,-0.00117524399111571,0.036432889404528074,-0.015793922920316325,-0.015801696962324245,-0.015825076633488044,,,
3,1,0.0,3.0,3.494285593819262,17.12809984132014,0.0005504581617757237,-0.000945887550760825,0.03678311798960315,-0.01403985504022968,-0.014046717275881006,-0.014067354811317009,,,
3,1,0.0,3.0,3.6043012853387673,17.12809984132014,0.0004569702993756071,-0.0007612753669499543,0.03711229287859934,-0.01247515823982843,-0.012481216106604512,-0.01249943460313128,,,
3,1,0.0,3.0,3.717780761387482,17.12809984132014,0.00037936040183619065,-0.0006126863524980964,0.03742167958973244,-0.011080388319793206,-0.0110857364959852,-0.011101820681179868,,,
3,1,0.0,3.0,3.8348330773474086,17.12809984132014,0.0003149324265883767,-0.0004930959457897322,0.03771246760934182,-0.009837906587263062,-0.009842628526495643,-0.009856829372990577,,,
3,1,0.0,3.0,3.955570722150253,17.12809984132014,0.0002614477118468234,-0.0003968473546890776,0.03798577494646729,-0.008731750842771,-0.008735920120575624,-0.008748458895246747,,,
3,1,0.0,3.0,4.080109726380877,17.12809984132014,0.00021704755495541284,-0.00031938604056148885,0.0382426524204509,-0.007747507013528939,-0.007751188509562344,-0.0077622603285447,,,
3,1,0.0,3.0,4.208569773784336,17.12809984132014,0.00018018883083258824,-0.0002570454435228862,0.03848408769308962,-0.0068721836025981515,-0.006875434538882615,-0.006885211489671576,,,
3,1,0.0,3.0,4.341074316283652,17.12809984132014,0.00014959047720630866,-0.0002068741688208528,0.038711009060484795,-0.00609409107102814,-0.006096961924192649,-0.006105595808883637,,,
3,1,0.0,3.0,4.4777506926188515,17.12809984132014,0.00012418902767946075,-0.0001664966824821997,0.03892428901907711,-0.005402727373304195,-0.005405262676535438,-0.005412887423430643,,,
3,1,0.0,3.0,4.618730250721303,17.12809984132014,0.00010310167296250395,-0.00013400106442424135,0.03912474761899302,-0.004788670093860205,-0.004790909142109295,-0.004797642926417837,,,
3,1,0.0,3.0,4.764148473940936,17.12809984132014,8.559558230093025e-05,-0.00010784859291560881,0.03931315561482037,-0.004243475841753049,-0.004245453312171601,-0.004251400421803352,,,
3,1,0.0,3.0,4.914145111247656,17.12809984132014,7.106242836762767e-05,-8.680093300283574e-05,0.03949023742833307,-0.0037595869877031633,-0.0037613334857388133,-0.0037665859635520123,,,
3,1,0.0,3.0,5.068864311532082,17.12809984132014,5.8997235732926565e-05,-6.986151318392477e-05,0.03965667393381373,-0.0033302454967975843,-0.003331788036968442,-0.003336427126590558,,,
3,1,0.0,3.0,5.228454762134667,17.12809984132014,4.8980820788290364e-05,-5.6228332890146856e-05,0.03981310507501673,-0.002949413891493225,-0.002950776320838762,-0.002954873740107748,,,
3,1,0.0,3.0,5.393069831736343,17.12809984132014,4.066521431539982e-05,-4.525597639256254e-05,0.03996013232600628,-0.002611702960979421,-0.0026129063321440418,-0.002616525395086647,,,
3,1,0.0,3.0,5.562867717747987,17.12809984132014,3.376156069690116e-05,-3.642503984293289e-05,0.04009832100305105,-0.002312305783190607,-0.0023133686831847506,-0.002316565288708409,,,
3,1,0.0,3.0,5.738011598340373,17.12809984132014,2.803007332384307e-05,-2.9317526313879564e-05,0.04022820243863782,-0.0020469378291744934,-0.0020478766691861485,-0.002050700172640688,,,
3,1,0.0,3.0,5.918669789260701,17.12809984132014,2.327169696996167e-05,-2.3597044734626462e-05,0.04035027602423611,-0.0018117826530877615,-0.0018126119240136343,-0.0018151059056634264,,,
3,1,0.0,3.0,6.1050159055864155,17.12809984132014,1.9321187136770273e-05,-1.8992875294326938e-05,0.04046501113025803,-0.001603442727337686,-0.0016041752251144874,-0.0016063781677913467,,,
3,1,0.0,3.0,6.297229028571751,17.12809984132014,1.604136556147245e-05,-1.5287146533446667e-05,0.040572848910945015,-0.0014188951179376823,-0.00141954214230436,-0.001421488029159548,,,
3,1,0.0,3.0,6.495493877747344,17.12809984132014,1.3318351991974603e-05,-1.2304516572053992e-05,0.040674204000405244,-0.0012554515289608117,-0.001256023058805168,-0.0012577419006434122,,,
3,1,0.0,3.0,6.700000988438318,17.12809984132014,1.1057606283589557e-05,-9.90386945856083e-06,0.04076946610701395,-0.0011107223413989698,-0.0011112271894604107,-0.001112745489991095,,,
3,1,0.0,3.0,6.910946894871441,17.12809984132014,9.180643074442386e-06,-7.97163308204785e-06,0.04085900151171779,-0.0009825843493464178,-0.0009830302987404315,-0.0009843714651605847,,,
3,1,0.0,3.0,7.128534319047275,17.12809984132014,7.622304714578225e-06,-6.416401943177511e-06,0.04094315447638883,-0.0008691517971768697,-0.0008695457218820012,-0.0008707304272288725,,,
3,1,0.0,3.0,7.352972365558901,17.12809984132014,6.32849755637248e-06,-5.164609926045981e-06,0.04102224856760285,-0.0007687504238698974,-0.0007690983950692257,-0.0007701448980322355,,,
3,1,0.0,3.0,7.584476722544382,17.12809984132014,5.254312848449254e-06,-4.157047994519026e-06,0.04109658790062083,-0.00067989425731849,-0.0006802016372761511,-0.0006811260645220933,,,
3,1,0.0,3.0,7.823269868966136,17.12809984132014,4.362466866347657e-06,-3.3460617961752964e-06,0.041166458308732126,-0.0006012648461938279,-0.000601536371125895,-0.0006023529665259848,,,
3,1,0.0,3.0,8.06958128841634,17.12809984132014,3.622006026505349e-06,-2.693296391231821e-06,0.041232128442321256,-0.0005316927093475725,-0.0005319325625834202,-0.0005326539072400689,,,
3,1,0.0,3.0,8.323647689653919,17.12809984132014,3.0072319539527375e-06,-2.1678812617540594e-06,0.041293850801797455,-0.00047014079298094433,-0.0004703526695635934,-0.0004709898760908198,,,
3,1,0.0,3.0,8.585713234085018,17.12809984132014,2.496809129248102e-06,-1.7449696269614128e-06,0.04135186270845094,-0.0004156896994630811,-0.0004158768631865641,-0.0004164397472454989,,,
