D,d,alpha,z,valid,reason,seconds,mu_c,zero_nodes,zero_rms,mu2,b2_fredholm_residual,metric_nodes,metric_rms,metric_anchor_rel_error,response_Finf,response_anchor_rel_error
3,1,2.0,5.0,True,,15.483453273773193,24.81376942906432,861.0,9.875660964622815e-07,0.008658082975142145,0.0,2634.0,2.990474756719096e-06,,,
3,1,3.0,1.0,True,,3.6680331230163574,4.529004984995093,1098.0,9.999126004006954e-07,0.003027251872749841,0.0,877.0,2.9476916121657574e-06,,,
3,1,3.0,1.5,True,,4.341796875,7.165173563434757,997.0,9.735373310733296e-07,0.0036861292190972154,0.0,1171.0,2.997856410216619e-06,,,
3,1,3.0,2.0,True,,5.658294439315796,9.800641372011581,972.0,9.794702935279483e-07,0.0042226423889360955,0.0,1600.0,2.994775696288352e-06,,,
3,1,3.0,2.5,True,,6.553130865097046,12.396767183364396,951.0,9.74669015888758e-07,0.00465934803008197,0.0,1877.0,2.9963572336989915e-06,,,
3,1,3.0,3.0,True,,8.776258707046509,14.946235632467632,929.0,9.87272399464121e-07,0.005005239103577783,0.0,2004.0,2.992351989088016e-06,,,
3,1,3.0,4.0,True,,13.871964931488037,19.919187122215657,891.0,9.985545872228999e-07,0.005469047912888459,0.0,2388.0,2.9900051305709247e-06,,,
3,1,3.0,5.0,True,,15.928065538406372,24.761080871216752,861.0,9.826645837468595e-07,0.005706072525547676,0.0,2592.0,2.9997155127913856e-06,,,
3,1,4.0,1.0,True,,3.2662503719329834,5.098369289639935,1129.0,9.778544095663852e-07,0.001056123804502243,0.0,875.0,2.9929096457114644e-06,,,
3,1,4.0,1.5,True,,4.243674039840698,7.5999425061329555,1004.0,9.409164350185256e-07,0.0016594754430597695,0.0,1182.0,2.989035577777124e-06,,,
3,1,4.0,2.0,True,,5.471725702285767,10.12823538754985,975.0,9.922175357952902e-07,0.0021748054423269725,0.0,1511.0,2.9995847686636434e-06,,,
3,1,4.0,2.5,True,,6.278076410293579,12.64735452915431,951.0,9.77466785503355e-07,0.002613041715852998,0.0,1782.0,2.99781889417633e-06,,,
3,1,4.0,3.0,True,,7.596935510635376,15.144054978063117,929.0,9.548520781006844e-07,0.0029819788109148146,0.0,1964.0,2.988792218995066e-06,,,
3,1,4.0,4.0,True,,12.702981233596802,20.059969964679528,891.0,9.804250704372698e-07,0.00354159840608161,0.0,2344.0,2.9990510598298935e-06,,,
3,1,4.0,5.0,True,,16.060206174850464,24.882152274369822,859.0,9.995974435271315e-07,0.003912066408834769,0.0,2560.0,2.996543992944454e-06,,,
4,2,0.0,1.0,True,,0.015918254852294922,3.6496454129911835,751.0,9.883166497025834e-07,,,,,,0.0006249654168034456,
4,2,0.0,1.5,True,,0.016171932220458984,7.114968211989941,974.0,9.760325628112693e-07,,,,,,1.953812978837403e-07,
4,2,0.0,2.0,True,,0.01855635643005371,10.117994513244424,972.0,9.704206228108449e-07,,,,,,3.1435368067657094e-10,
4,2,0.0,2.5,True,,0.018928050994873047,12.868591368058356,955.0,9.760813458758745e-07,,,,,,6.984349662332262e-10,
4,2,0.0,3.0,True,,0.020474910736083984,15.466901239536144,935.0,9.940065462763754e-07,,,,,,1.4407368248802567e-09,
4,2,0.0,4.0,True,,0.018137693405151367,20.402472345814946,890.0,9.702324052568479e-07,,,,,,4.320702863810765e-09,
4,2,0.0,5.0,True,,0.018152713775634766,25.146037780344095,867.0,9.431653417378407e-07,,,,,,9.820899076544129e-09,
4,2,0.5,1.0,True,,0.0133514404296875,3.9999999999576468,466.0,9.987089465905437e-07,,,,,,3.124882334953129e-06,2.7964044555427827e-06
4,2,0.5,1.5,True,,0.018219947814941406,6.889349305502616,988.0,9.952171201358227e-07,,,,,,7.67299894164504e-10,
4,2,0.5,2.0,True,,0.01908111572265625,9.685183831853772,973.0,9.767827841774269e-07,,,,,,2.874248409465168e-10,
4,2,0.5,2.5,True,,0.02168869972229004,12.374969629909176,955.0,9.058784695788508e-07,,,,,,6.932172778091157e-10,
4,2,0.5,3.0,True,,0.018197059631347656,14.975492752590096,932.0,9.79820634157802e-07,,,,,,1.3950425187799901e-09,
