D,d,theta,z,case_id,case_label,quantity,thermodynamic_scheme,reliability_class,source_rule,epsilon_horizon,mu_branch,F_iso_visible,F_aniso_visible,DeltaF_visible,T_deltaF_visible,solver_success,solver_message,case_free_energy_scale,DeltaF,T_deltaF,F_iso,F_aniso,y_value,y_label
3,1,0.5,1.0,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,3.886909967577049,-3.777017274012454,-4.399176830795238,-0.6221595567827838,-0.5526298472127152,True,The algorithm converged to the desired accuracy.,0.84,-0.5226140276975384,-0.47971500504546133,-3.777017274012454,-4.299631301709992,-0.47971500504546133,tanh(Delta F / V_d)
3,1,0.5,1.0,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,3.886909967577049,-3.777017274012454,-4.399176830795238,-0.6221595567827838,-0.5526298472127152,True,The algorithm converged to the desired accuracy.,1.0,-0.6221595567827838,-0.5526298472127152,-3.777017274012454,-4.399176830795238,-0.5526298472127152,tanh(Delta F / V_d)
3,1,0.5,1.0,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,3.886909967577049,-3.777017274012454,-4.399176830795238,-0.6221595567827838,-0.5526298472127152,True,The algorithm converged to the desired accuracy.,1.0003328380909038,-0.6223666351819009,-0.5527736674604048,-3.777017274012454,-4.399383909194355,-0.5527736674604048,tanh(Delta F / V_d)
3,1,0.5,1.5,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,7.751224307216688,-30.040739130393415,-30.654128145663186,-0.613389015269771,-0.5465083135931738,True,The algorithm converged to the desired accuracy.,1.0,-0.613389015269771,-0.5465083135931738,-30.040739130393415,-30.654128145663186,-0.5465083135931738,tanh(Delta F / V_d)
3,1,0.5,1.5,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,7.751224307216688,-30.040739130393415,-30.654128145663186,-0.613389015269771,-0.5465083135931738,True,The algorithm converged to the desired accuracy.,1.0,-0.613389015269771,-0.5465083135931738,-30.040739130393415,-30.654128145663186,-0.5465083135931738,tanh(Delta F / V_d)
3,1,0.5,1.5,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,7.751224307216688,-30.040739130393415,-30.654128145663186,-0.613389015269771,-0.5465083135931738,True,The algorithm converged to the desired accuracy.,0.84,-0.5152467728266076,-0.4740231375279119,-30.040739130393415,-30.555985903220023,-0.4740231375279119,tanh(Delta F / V_d)
3,1,0.5,1.5,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,7.751224307216688,-30.040739130393415,-30.654128145663186,-0.613389015269771,-0.5465083135931738,True,The algorithm converged to the desired accuracy.,1.0,-0.613389015269771,-0.5465083135931738,-30.040739130393415,-30.654128145663186,-0.5465083135931738,tanh(Delta F / V_d)
3,1,0.5,1.5,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,7.751224307216688,-30.040739130393415,-30.654128145663186,-0.613389015269771,-0.5465083135931738,True,The algorithm converged to the desired accuracy.,1.0006120428607213,-0.6137644356374117,-0.5467715526365251,-30.040739130393415,-30.654503566030826,-0.5467715526365251,tanh(Delta F / V_d)
3,1,0.5,2.0,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,10.862201024685314,-88.49055832550602,-88.74289168895163,-0.2523333634456151,-0.247110801938594,True,The algorithm converged to the desired accuracy.,1.0,-0.2523333634456151,-0.247110801938594,-88.49055832550602,-88.74289168895163,-0.247110801938594,tanh(Delta F / V_d)
3,1,0.5,2.0,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,10.862201024685314,-88.49055832550602,-88.74289168895163,-0.2523333634456151,-0.247110801938594,True,The algorithm converged to the desired accuracy.,1.0,-0.2523333634456151,-0.247110801938594,-88.49055832550602,-88.74289168895163,-0.247110801938594,tanh(Delta F / V_d)
3,1,0.5,2.0,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,10.862201024685314,-88.49055832550602,-88.74289168895163,-0.2523333634456151,-0.247110801938594,True,The algorithm converged to the desired accuracy.,0.84,-0.21196002529431665,-0.20884180394498258,-88.49055832550602,-88.70251835080033,-0.20884180394498258,tanh(Delta F / V_d)
3,1,0.5,2.0,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,10.862201024685314,-88.49055832550602,-88.74289168895163,-0.2523333634456151,-0.247110801938594,True,The algorithm converged to the desired accuracy.,1.0,-0.2523333634456151,-0.247110801938594,-88.49055832550602,-88.74289168895163,-0.247110801938594,tanh(Delta F / V_d)
3,1,0.5,2.0,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,10.862201024685314,-88.49055832550602,-88.74289168895163,-0.2523333634456151,-0.247110801938594,True,The algorithm converged to the desired accuracy.,1.0011207902816248,-0.25261617622709465,-0.24737632654797442,-88.49055832550602,-88.74317450173311,-0.24737632654797442,tanh(Delta F / V_d)
3,1,0.5,2.5,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,13.551473333916201,-183.64242951984187,-183.7195894597128,-0.07715993987093839,-0.0770071757414332,True,The algorithm converged to the desired accuracy.,1.0,-0.07715993987093839,-0.0770071757414332,-183.64242951984187,-183.7195894597128,-0.0770071757414332,tanh(Delta F / V_d)
3,1,0.5,2.5,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,13.551473333916201,-183.64242951984187,-183.7195894597128,-0.07715993987093839,-0.0770071757414332,True,The algorithm converged to the desired accuracy.,1.0,-0.07715993987093839,-0.0770071757414332,-183.64242951984187,-183.7195894597128,-0.0770071757414332,tanh(Delta F / V_d)
3,1,0.5,2.5,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,13.551473333916201,-183.64242951984187,-183.7195894597128,-0.07715993987093839,-0.0770071757414332,True,The algorithm converged to the desired accuracy.,0.84,-0.06481434949158825,-0.06472374220995827,-183.64242951984187,-183.70724386933347,-0.06472374220995827,tanh(Delta F / V_d)
3,1,0.5,2.5,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,13.551473333916201,-183.64242951984187,-183.7195894597128,-0.07715993987093839,-0.0770071757414332,True,The algorithm converged to the desired accuracy.,1.0,-0.07715993987093839,-0.0770071757414332,-183.64242951984187,-183.7195894597128,-0.0770071757414332,tanh(Delta F / V_d)
3,1,0.5,2.5,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,13.551473333916201,-183.64242951984187,-183.7195894597128,-0.07715993987093839,-0.0770071757414332,True,The algorithm converged to the desired accuracy.,1.001657953719461,-0.0772878674802408,-0.07713434347309847,-183.64242951984187,-183.7197173873221,-0.07713434347309847,tanh(Delta F / V_d)
3,1,0.5,3.0,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,16.062925207204476,-322.5219577653062,-322.5482606853178,-0.026302920011630704,-0.026296855854170825,True,The algorithm converged to the desired accuracy.,1.0,-0.026302920011630704,-0.026296855854170825,-322.5219577653062,-322.5482606853178,-0.026296855854170825,tanh(Delta F / V_d)
3,1,0.5,3.0,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,16.062925207204476,-322.5219577653062,-322.5482606853178,-0.026302920011630704,-0.026296855854170825,True,The algorithm converged to the desired accuracy.,1.0,-0.026302920011630704,-0.026296855854170825,-322.5219577653062,-322.5482606853178,-0.026296855854170825,tanh(Delta F / V_d)
3,1,0.5,3.0,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,16.062925207204476,-322.5219577653062,-322.5482606853178,-0.026302920011630704,-0.026296855854170825,True,The algorithm converged to the desired accuracy.,0.84,-0.02209445280976979,-0.022090858266616522,-322.5219577653062,-322.54405221811595,-0.022090858266616522,tanh(Delta F / V_d)
