D,scan,x,case,mu_c_visible,mu_c_value,mu_ratio
5,theta,2.275,III-b,12.545186800884073,12.545186800884073,1.0
5,theta,2.3000000000000003,vis,12.586630815932706,12.586630815932706,1.0
5,theta,2.3000000000000003,I,12.586630815932706,12.586630815932706,1.0
5,theta,2.3000000000000003,II,12.586630815932706,10.559811839993985,0.8389704913428393
5,theta,2.3000000000000003,III-a,12.586630815932706,12.586630815932706,1.0
5,theta,2.3000000000000003,III-b,12.586630815932706,12.586630815932706,1.0
5,theta,2.325,vis,12.62812969171201,12.62812969171201,1.0
5,theta,2.325,I,12.62812969171201,12.62812969171201,1.0
5,theta,2.325,II,12.62812969171201,10.594628172196723,0.8389704913428393
5,theta,2.325,III-a,12.62812969171201,12.62812969171201,1.0
5,theta,2.325,III-b,12.62812969171201,12.62812969171201,1.0
5,theta,2.35,vis,12.669681170355304,12.669681170355304,1.0
5,theta,2.35,I,12.669681170355304,12.669681170355304,1.0
5,theta,2.35,II,12.669681170355304,10.629488636650109,0.8389704913428393
5,theta,2.35,III-a,12.669681170355304,12.669681170355304,1.0
5,theta,2.35,III-b,12.669681170355304,12.669681170355304,1.0
5,theta,2.375,vis,12.711282993995903,12.711282993995903,1.0
5,theta,2.375,I,12.711282993995903,12.711282993995903,1.0
5,theta,2.375,II,12.711282993995903,10.66439133907062,0.8389704913428393
5,theta,2.375,III-a,12.711282993995903,12.711282993995903,1.0
5,theta,2.375,III-b,12.711282993995903,12.711282993995903,1.0
5,theta,2.4000000000000004,vis,12.752932904767116,12.752932904767116,1.0
5,theta,2.4000000000000004,I,12.752932904767116,12.752932904767116,1.0
5,theta,2.4000000000000004,II,12.752932904767116,10.69933438517473,0.8389704913428393
5,theta,2.4000000000000004,III-a,12.752932904767116,12.752932904767116,1.0
5,theta,2.4000000000000004,III-b,12.752932904767116,12.752932904767116,1.0
5,theta,2.4250000000000003,vis,12.794628644802266,12.794628644802266,1.0
5,theta,2.4250000000000003,I,12.794628644802266,12.794628644802266,1.0
5,theta,2.4250000000000003,II,12.794628644802266,10.734315880678924,0.8389704913428393
5,theta,2.4250000000000003,III-a,12.794628644802266,12.794628644802266,1.0
5,theta,2.4250000000000003,III-b,12.794628644802266,12.794628644802266,1.0
5,theta,2.45,vis,12.83636795623466,12.83636795623466,1.0
5,theta,2.45,I,12.83636795623466,12.83636795623466,1.0
5,theta,2.45,II,12.83636795623466,10.769333931299672,0.8389704913428393
5,theta,2.45,III-a,12.83636795623466,12.83636795623466,1.0
5,theta,2.45,III-b,12.83636795623466,12.83636795623466,1.0
5,theta,2.475,vis,12.878148581197618,12.878148581197618,1.0
5,theta,2.475,I,12.878148581197618,12.878148581197618,1.0
5,theta,2.475,II,12.878148581197618,10.804386642753453,0.8389704913428393
5,theta,2.475,III-a,12.878148581197618,12.878148581197618,1.0
5,theta,2.475,III-b,12.878148581197618,12.878148581197618,1.0
5,theta,2.5,vis,12.919968261824451,12.919968261824451,1.0
5,theta,2.5,I,12.919968261824451,12.919968261824451,1.0
5,theta,2.5,II,12.919968261824451,10.83947212075675,0.8389704913428393
5,theta,2.5,III-a,12.919968261824451,12.919968261824451,1.0
5,theta,2.5,III-b,12.919968261824451,12.919968261824451,1.0
5,theta,2.5250000000000004,vis,12.961824740248478,12.961824740248478,1.0
5,theta,2.5250000000000004,I,12.961824740248478,12.961824740248478,1.0
5,theta,2.5250000000000004,II,12.961824740248478,10.874588471026035,0.8389704913428393
5,theta,2.5250000000000004,III-a,12.961824740248478,12.961824740248478,1.0
5,theta,2.5250000000000004,III-b,12.961824740248478,12.961824740248478,1.0
5,theta,2.5500000000000003,vis,13.00371575860301,13.00371575860301,1.0
5,theta,2.5500000000000003,I,13.00371575860301,13.00371575860301,1.0
5,theta,2.5500000000000003,II,13.00371575860301,10.90973379927779,0.8389704913428393
5,theta,2.5500000000000003,III-a,13.00371575860301,13.00371575860301,1.0
5,theta,2.5500000000000003,III-b,13.00371575860301,13.00371575860301,1.0
5,theta,2.575,vis,13.045639059021362,13.045639059021362,1.0
5,theta,2.575,I,13.045639059021362,13.045639059021362,1.0
5,theta,2.575,II,13.045639059021362,10.944906211228487,0.8389704913428393
5,theta,2.575,III-a,13.045639059021362,13.045639059021362,1.0
5,theta,2.575,III-b,13.045639059021362,13.045639059021362,1.0
5,theta,2.6,vis,13.087592383636851,13.087592383636851,1.0
5,theta,2.6,I,13.087592383636851,13.087592383636851,1.0
5,theta,2.6,II,13.087592383636851,10.98010381259461,0.8389704913428393
5,theta,2.6,III-a,13.087592383636851,13.087592383636851,1.0
5,theta,2.6,III-b,13.087592383636851,13.087592383636851,1.0
5,theta,2.625,vis,13.129573474582793,13.129573474582793,1.0
5,theta,2.625,I,13.129573474582793,13.129573474582793,1.0
5,theta,2.625,II,13.129573474582793,11.015324709092635,0.8389704913428393
5,theta,2.625,III-a,13.129573474582793,13.129573474582793,1.0
5,theta,2.625,III-b,13.129573474582793,13.129573474582793,1.0
5,theta,2.6500000000000004,vis,13.171580073992496,13.171580073992496,1.0
5,theta,2.6500000000000004,I,13.171580073992496,13.171580073992496,1.0
5,theta,2.6500000000000004,II,13.171580073992496,11.050567006439037,0.8389704913428393
5,theta,2.6500000000000004,III-a,13.171580073992496,13.171580073992496,1.0
5,theta,2.6500000000000004,III-b,13.171580073992496,13.171580073992496,1.0
5,theta,2.6750000000000003,vis,13.213609923999282,13.213609923999282,1.0
5,theta,2.6750000000000003,I,13.213609923999282,13.213609923999282,1.0
5,theta,2.6750000000000003,II,13.213609923999282,11.085828810350295,0.8389704913428393
5,theta,2.6750000000000003,III-a,13.213609923999282,13.213609923999282,1.0
5,theta,2.6750000000000003,III-b,13.213609923999282,13.213609923999282,1.0
5,theta,2.7,vis,13.255660766736463,13.255660766736463,1.0
5,theta,2.7,I,13.255660766736463,13.255660766736463,1.0
5,theta,2.7,II,13.255660766736463,11.121108226542889,0.8389704913428393
5,theta,2.7,III-a,13.255660766736463,13.255660766736463,1.0
5,theta,2.7,III-b,13.255660766736463,13.255660766736463,1.0
5,theta,2.725,vis,13.297730344337353,13.297730344337353,1.0
5,theta,2.725,I,13.297730344337353,13.297730344337353,1.0
5,theta,2.725,II,13.297730344337353,11.156403360733293,0.8389704913428393
5,theta,2.725,III-a,13.297730344337353,13.297730344337353,1.0
5,theta,2.725,III-b,13.297730344337353,13.297730344337353,1.0
5,theta,2.75,vis,13.339816398935268,13.339816398935268,1.0
