accepted_points,alpha_dm,c2,c2_sign,c4,claim2_candidate,delta2,fit_success,max_abs_residual,message,mu0,mu0_minus_mu_c,mu_X,mu_c,point_key,psi_sq_max,psi_sq_min,rmse,closure_mode,classification,mu_extremal_max
4,0.0,0.030303123968830746,positive,-0.0008337519337545676,False,0.18,True,1.3862004877296386e-09,,3.4977151342721897,0.00047036606734440767,0.0,3.4972447682048453,d0.18_a0.0_nu0.0,0.037634109882638773,0.002349475721505367,8.992175094260092e-10,,,
4,0.0,0.031210687951203974,positive,-0.0009348848983270725,False,0.18,True,9.718040594464128e-09,,3.486450234251214,0.0004585554554346061,0.5,3.4859916787957794,d0.18_a0.0_nu0.5,0.03663345751062108,0.002286969823531874,6.3040009677137e-09,,,
4,0.0,0.03428365119333192,positive,-0.001139184140996568,False,0.18,True,1.5227947791629504e-09,,3.451456231546448,0.00042295554944749014,1.0,3.4510332759970006,d0.18_a0.0_nu1.0,0.03360706764636772,0.002097928439677955,9.87815552016265e-10,,,
4,0.0,0.04102727344379345,positive,-0.0017231402305504394,False,0.18,True,5.81226711204863e-09,,3.38852503503747,0.0003625952522252618,1.5,3.3881624397852446,d0.18_a0.0_nu1.5,0.028471598033295853,0.0017771549798629269,3.7702872846276645e-09,,,
4,0.0,0.05672975275292054,positive,-0.003910699128861261,False,0.18,True,7.516343103475265e-09,,3.2877326818160326,0.00027504254155141794,2.0,3.287457639274481,d0.18_a0.0_nu2.0,0.021043285915753975,0.0013131922546017764,4.875547768216136e-09,,,
4,0.4,0.02994080011073169,positive,-0.0009069408309913438,False,0.18,True,1.3168397039464708e-08,,3.448390744714978,0.0004895962311040059,0.0,3.447901148483874,d0.18_a0.4_nu0.0,0.03961172769330477,0.002472679425326269,8.54212137284437e-09,,,
4,0.4,0.034501168238475724,positive,-0.0013768527912807606,False,0.18,True,5.086213228366887e-09,,3.4139680901445164,0.0004381084739017993,0.5,3.4135299816706146,d0.18_a0.4_nu0.5,0.03556426368547916,0.002219651680745087,3.2992740822112125e-09,,,
4,0.4,0.043584803402920216,positive,-0.002484587692436974,False,0.18,True,5.298899097283538e-09,,3.3523323573949178,0.0003636167068803431,1.0,3.3519687406880374,d0.18_a0.4_nu1.0,0.029470785901874127,0.0018387926434526674,3.437108481604599e-09,,,
4,0.4,0.06478629255952731,positive,-0.007436501785890305,False,0.18,True,4.368045924962871e-09,,3.2536352984124246,0.0002648933461393277,1.5,3.2533704050662853,d0.18_a0.4_nu1.5,0.021216646938697244,0.0013229010524352866,2.833083105309701e-09,,,
4,0.4,0.14748274350635807,positive,-0.07515153067038366,False,0.18,True,7.777551935816973e-10,,3.0926333299409863,0.0001373047578066,2.0,3.0924960251831797,d0.18_a0.4_nu2.0,0.0105469642599255,0.0006558112315709111,5.042774820065426e-10,,,
4,0.8,0.02846760995202152,positive,-0.0009974272506202222,False,0.18,True,3.3258533704838555e-09,,3.2846986531348463,0.0005433356214186169,0.0,3.2841553175134277,d0.18_a0.8_nu0.0,0.04574864332707103,0.002855006329497498,2.1573554518549206e-09,,,
4,0.8,0.03656072916502393,positive,-0.001981661096996177,False,0.18,True,2.980392377338603e-09,,3.252234188630324,0.00045125877882323806,0.5,3.2517829298515006,d0.18_a0.8_nu0.5,0.038280332611301295,0.002387993594725625,1.933172965150016e-09,,,
4,0.8,0.05392146288180314,positive,-0.005436340769008818,False,0.18,True,4.933503827686536e-09,,3.188033843395491,0.00033713167458682136,1.0,3.1876967117209043,d0.18_a0.8_nu1.0,0.028631748748013875,0.0017846574450826806,3.199706477050278e-09,,,
4,0.8,0.10883816692873058,positive,-0.037494128880739414,False,0.18,True,7.188242001632261e-09,,3.0732644399627347,0.00019885997534352384,1.5,3.073065579987391,d0.18_a0.8_nu1.5,0.01662335389045208,0.0010334761824715036,4.660579493080972e-09,,,
7,0.8,1.3327162966716548,positive,-61.98040664355889,False,0.18,True,3.2143520733995956e-08,,2.8419210257976304,2.7141114699258395e-05,2.0,2.841893884682931,d0.18_a0.8_nu2.0,0.0005131838950436262,1.2492756206575565e-06,2.053048234459502e-08,dense_neighbor_seed_repair,,
4,1.2,0.02562011642102831,positive,-0.0009889853264587543,False,0.18,True,2.763166140340445e-09,,2.9506290428662867,0.0006123532594530801,0.0,2.9500166896068336,d0.18_a1.2_nu0.0,0.0566499527101212,0.003534038792126501,1.792281391346067e-09,,,
4,1.2,0.03543950316946085,positive,-0.0022477235567164282,False,0.18,True,5.028899963122058e-09,,2.9589155672928347,0.0004908929873859158,0.5,2.9584246743054488,d0.18_a1.2_nu0.5,0.04584628203813657,0.002858151667135963,3.2616431634587978e-09,,,
4,1.2,0.058782008327550886,positive,-0.008393925333475421,False,0.18,True,5.346147080587116e-09,,2.9342993967167383,0.000345935251711893,1.0,2.9339534614650264,d0.18_a1.2_nu1.0,0.03236665537685177,0.0020147370533385774,3.4667595735264158e-09,,,
4,1.2,0.15916879044011406,positive,-0.1180040079840461,False,0.18,True,1.7280087138971112e-08,,2.848282201916069,0.00017343764390531646,1.5,2.8481087642721636,d0.18_a1.2_nu1.5,0.01581106295886632,0.000977712461593571,1.1196520398864981e-08,,,
0,1.2,,unresolved,,False,0.18,False,,no compact onset root before extremality bound mu_max=2.555884,,,2.0,,d0.18_a1.2_nu2.0,,,,extremality_limited_no_linear_onset,no_linear_onset_before_extremality_bound,2.555884
4,1.6,0.022134466416206533,positive,-0.0009262759786875162,False,0.18,True,7.972277504819658e-09,,2.2973374894368157,0.0006268649987024588,0.0,2.2967106244381132,d0.18_a1.6_nu0.0,0.07331576561942406,0.004570946677195538,5.170700630597302e-09,,,
4,1.6,0.031047159993520722,positive,-0.002205368266630035,False,0.18,True,4.124376395964191e-10,,2.3995449869286634,0.0005133313412049034,0.5,2.3990316555874585,d0.18_a1.6_nu0.5,0.06064652150022388,0.003777315926621074,2.6746815542671995e-10,,,
4,1.6,0.05253186164833293,positive,-0.008355321859932372,False,0.18,True,4.2644461295537894e-09,,2.4825258644651775,0.00037122998291971854,1.0,2.482154634482258,d0.18_a1.6_nu1.0,0.044058394774924355,0.0027379336880116096,2.764758024398669e-09,,,
4,1.6,0.14894259048283354,positive,-0.11857734170575758,False,0.18,True,6.159259235971604e-08,,2.520021856711932,0.00019569891901660696,1.5,2.5198261577929153,d0.18_a1.6_nu1.5,0.022550709265099514,0.0013878719398904772,3.988615868789482e-08,,,
0,1.6,,unresolved,,False,0.18,False,,no compact onset root before extremality bound mu_max=2.302136,,,2.0,,d0.18_a1.6_nu2.0,,,,extremality_limited_no_linear_onset,no_linear_onset_before_extremality_bound,2.302136
4,0.0,0.03569992473203239,positive,-0.001235390344544584,False,0.2,True,3.320041130905338e-09,,3.436323427947901,0.00039329103927920883,0.0,3.4359301369086217,d0.20_a0.0_nu0.0,0.03233639654998656,0.002018559549302949,2.153658706243673e-09,,,
4,0.0,0.03706734203615356,positive,-0.0013794546664562478,False,0.2,True,6.4500342844553415e-09,,3.423050696939752,0.00038064296798090425,0.5,3.422670053971771,d0.20_a0.0_nu0.5,0.031240662527500292,0.0019501172858239107,4.184025659332003e-09,,,
4,0.0,0.04187295635070439,positive,-0.0018008495017455015,False,0.2,True,6.814720787673423e-09,,3.381512510394832,0.00034238006694486955,1.0,3.381170130327887,d0.20_a0.0_nu1.0,0.027923323760789584,0.0017429119116807936,4.4205521726272525e-09,,,
