D,d,theta,z,Delta,U,nh,A,m2,status,message,u,Phi,Phi2
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.435548745691934,0.05111781552279675,0.0026130310638226802
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.530538315901707,0.050312789367230895,0.0025313767739113422
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.626929945019772,0.049520130763302,0.002452243350814529
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.72474432762531,0.0487396623873056,0.0023755546896285324
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.824002463752296,0.04797120902037023,0.00230123689487605
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,6.924725663398043,0.04721459749498668,0.0022292182166136027
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.02693555109831,0.04646965661024108,0.0021594289854737223
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.130654070569928,0.04573621712989746,0.0020918015573531262
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.235903489421963,0.0450141117925733,0.002026270260474287
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.342706403936393,0.04430317542392026,0.001962771352642652
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.4510857439193865,0.04360324487877081,0.0019012429639580532
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.561064777624145,0.042914158958266876,0.0018416250390953972
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.672667116746441,0.04223575840331441,0.0017838592879031437
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.785916721493865,0.0415678858998679,0.0017278891381844366
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,7.900837905729923,0.040910386179430776,0.0016736596973501606
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,8.017455342194026,0.040263105958294965,0.0016211177014088874
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,8.135794067798564,0.03962589385732869,0.0015702114639922797
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,8.255879489004135,0.03899860039193304,0.0015208908325296802
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,8.377737387274141,0.03838107797353645,0.001473107146410685
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,8.501393924609863,0.03777318099979429,0.0014268132028432206
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,8.62687564916727,0.037174765792148304,0.0013819632117010798
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,8.754209500956692,0.036585690518838226,0.0013385127507402094
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,8.883422817626675,0.036005815182296834,0.0012964187269417172
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,9.014543340333137,0.035435001617768844,0.0012556393396512806
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,9.147599219695225,0.03487311357441889,0.001216134050374319
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,9.282619021839025,0.034320016652217726,0.001177863543008502
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,9.419631734530514,0.0337755782285711,0.001140789684674326
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,9.558666773399011,0.033239667443921025,0.0011048754917824632
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,9.699753988252512,0.032712155198238,0.0010700850977136095
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,9.84292366948621,0.03219291422409402,0.001036383726239875
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,9.988206554585634,0.0316818190236881,0.0010037376566497253
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,10.135633834725754,0.031178745799345143,0.0009721141896201823
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,10.285237161467506,0.03068357243794328,0.0009414816175545126
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,10.437048653553154,0.030196178505887187,0.0009118091963594033
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,10.591100903801925,0.02971644531506546,0.000883067122163276
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,10.747426986107484,0.029244255860662014,0.0008552265008438646
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,10.906060462538637,0.028779494755661442,0.0008282593183911444
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,11.067035390544872,0.028322048214597724,0.0008021384150699981
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,11.230386330268221,0.027871804047495192,0.0007768374608619693
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,11.396148351963108,0.027428651719509686,0.0007523309351501617
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,11.564357043525646,0.026992482290030893,0.0007285941001776314
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,11.735048518134123,0.02656318835123803,0.0007056029753833477
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,11.908259422002203,0.026140664011559903,0.0006833343149652631
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,12.08402694224664,0.025724804888968597,0.0006617655865755026
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,12.262388814871054,0.025315508164999796,0.0006408749536521713
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,12.443383332867597,0.024912672525531407,0.0006206412523643674
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,12.62704935443814,0.02451619810336126,0.0006010439694432543
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,12.813426311336896,0.0241259864616807,0.0005820632227492003
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,13.002554217336094,0.023741940587022274,0.0005636797428376955
