D,d,theta,z,Delta,U,nh,A,m2,status,message,W,u_star_proxy,Phi_at_ustar,relative_portal_shift
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.17083333333333334,5.853658536585366,0.05663579172678467,0.003207612904519731
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.17291666666666666,5.783132530120482,0.05738198268258457,0.0032926919365844354
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.175,5.714285714285714,0.05812858930278697,0.0033789328943320796
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.17708333333333331,5.647058823529412,0.05887559663643713,0.003466335879296447
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.17916666666666664,5.58139534883721,0.05962298997845935,0.003554900933971464
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.18125000000000002,5.517241379310344,0.06037075486144569,0.0036446280425407687
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.18333333333333335,5.454545454545454,0.06111887704728336,0.0037355171315209407
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.18541666666666667,5.393258426966292,0.06186734251963565,0.0038275680704419174
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.1875,5.333333333333333,0.06261613748625332,0.003920780673697378
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.18958333333333333,5.274725274725275,0.06336524837420021,0.004015154701524083
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.19166666666666665,5.217391304347826,0.064114661820882,0.004110689860406065
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.19374999999999998,5.161290322580646,0.0648643646668164,0.00420738580362974
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.19583333333333336,5.106382978723404,0.0656143439471186,0.004305242131610779
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.19791666666666669,5.052631578947368,0.0663645868813242,0.004404258391928827
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2,5.0,0.06711508086117936,0.004504434079002644
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.20208333333333334,4.948453608247423,0.06786581343602013,0.004605768633332691
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.20416666666666666,4.8979591836734695,0.06861677232519757,0.004708261444327999
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.20625,4.848484848484849,0.069367945492597,0.0048119118618639095
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.20833333333333331,4.800000000000001,0.07011932107962694,0.004916719188667815
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.21041666666666664,4.752475247524753,0.07087088736765619,0.00502268267627901
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.21250000000000002,4.705882352941176,0.07162263275492643,0.005129801522747061
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.21458333333333335,4.660194174757281,0.07237454573398214,0.005238074870200272
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.21666666666666667,4.615384615384615,0.07312661501429889,0.005347501823449483
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.21875,4.571428571428571,0.07387882956636616,0.005458081458096178
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.22083333333333333,4.528301886792453,0.07463117845330675,0.005569812797329317
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.22291666666666665,4.4859813084112155,0.07538365078428051,0.005682694805566356
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.22499999999999998,4.444444444444445,0.07613623573167629,0.00579672639138938
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.22708333333333336,4.403669724770642,0.0768889228200445,0.005911906452426761
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.22916666666666669,4.363636363636363,0.07764170172414767,0.006028233846621514
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.23125,4.324324324324324,0.07839456209776034,0.006145707366499603
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.23333333333333334,4.285714285714286,0.07914749359759146,0.006264325742780782
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.23541666666666666,4.247787610619469,0.07990048629295635,0.006384087709850905
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2375,4.2105263157894735,0.08065353037730766,0.0065049919623232895
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.23958333333333331,4.173913043478261,0.08140661592272465,0.006627037115990006
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.24166666666666664,4.137931034482759,0.08215973311183868,0.006750221745008561
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.24375000000000002,4.102564102564102,0.08291287259341709,0.006874544441692215
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.24583333333333335,4.067796610169491,0.08366602491355327,0.007000003724835316
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.24791666666666667,4.033613445378151,0.08441918047721231,0.007126598032444143
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.25,4.0,0.08517233021806715,0.007254325834775475
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.2520833333333333,3.9669421487603307,0.08592546512074441,0.007383185556216264
