alpha_dm,gamma,mu_ratio,stress,fd,old_mu,old_stress
0.28,-0.1621911661652458,0.9870138390177233,0.9808924478557736,0.02563170734525021,0.9901515035589251,0.9804
0.28400000000000003,-0.16486241286665254,0.986586960768157,0.9803586899220853,0.026460430848359355,0.9898666576867816,0.979836
0.28800000000000003,-0.16754429655448533,0.9861516012564442,0.9798183339002455,0.027304620804213635,0.989577687703194,0.979264
0.292,-0.1702368267178269,0.9857076852929758,0.97927142376935,0.028164357825522464,0.9892845899942039,0.978684
0.296,-0.17294001143841034,0.9852551375685138,0.978718004170548,0.02903972040934846,0.9889873608899155,0.978096
0.3,-0.17565385735752634,0.9847938826699153,0.9781581203973203,0.02993078485959729,0.9886859966642595,0.9775
0.304,-0.1783783696426375,0.9843238450963134,0.9775918183850035,0.030837625208864818,0.988380493534752,0.976896
0.308,-0.18111355195375786,0.9838449492757563,0.9770191446995491,0.0317603131397072,0.9880708476622514,0.976284
0.312,-0.1838594064095586,0.9833571195823132,0.9764401465254929,0.03269891790537004,0.9877570551507086,0.975664
0.316,-0.18661593355325617,0.9828602803536454,0.9758548716531243,0.03365350625004618,0.987439112046915,0.975036
0.32,-0.18938313231827306,0.9823543559090503,0.9752633684648332,0.03462414232871257,0.9871170143402453,0.9744
0.324,-0.19216099999371872,0.9818392705679745,0.9746656859206211,0.03561088762661784,0.986790757962396,0.973756
0.328,-0.19494953218967065,0.9813149486690068,0.9740618735427595,0.03661380087847189,0.9864603387871203,0.973104
0.332,-0.19774872280229439,0.9807813145893473,0.9734519813995769,0.03763293798741062,0.9861257526299574,0.972444
0.336,-0.20055856397883867,0.9802382927647528,0.9728360600883641,0.038668351943811796,0.9857869952479592,0.971776
0.34,-0.2033790460824824,0.9796858077099684,0.9722141607173764,0.03972009274401742,0.9854440623394105,0.9711
0.34400000000000003,-0.2062101576571075,0.9791237840396342,0.9715863348869241,0.04078820730905691,0.9850969495435462,0.970416
0.34800000000000003,-0.20905188539196765,0.9785521464896775,0.9709526346695316,0.041872739403428255,0.9847456524402634,0.969724
0.352,-0.21190421408632154,0.9779708199391853,0.9703131125891564,0.04297372955403422,0.9843901665498289,0.969024
0.356,-0.21476712661402908,0.9773797294327562,0.9696678215994521,0.04409121496934544,0.9840304873325826,0.968316
0.36,-0.21764060388813514,0.9767788002033342,0.9690168150610635,0.04522522945887505,0.983666610188635,0.9676
0.364,-0.220524624825483,0.9761679576955181,0.9683601467179442,0.04637580335305775,0.9832985304575614,0.966876
0.368,-0.2234191663113714,0.9755471275893489,0.9676978706726835,0.047542963423617586,0.9829262434180909,0.966144
0.372,-0.22632420316428278,0.974916235824568,0.9670300413608344,0.0487267328045156,0.9825497442877893,0.965404
0.376,-0.22923970810072594,0.9742752086253469,0.966356713524233,0.04992713091357701,0.9821690282227392,0.964656
0.38,-0.2321656517001971,0.9736239725254817,0.9656779421833024,0.05114417337488309,0.9817840903172143,0.9639
0.384,-0.2351020023703226,0.9729624543940489,0.9649937826083314,0.05237787194203882,0.9813949256033475,0.963136
0.388,-0.23804872631218735,0.9722905814615168,0.9643042902897261,0.053628234422404907,0.9810015290507961,0.962364
0.392,-0.2410057874858975,0.9716082813463074,0.9636095209072257,0.054895264602402134,0.9806038955664005,0.961584
0.396,-0.24397314757639743,0.9709154820818022,0.9629095302980811,0.05617896217398565,0.9802020199938378,0.960796
0.4,-0.2469507659595982,0.9702121121437838,0.9622043744241929,0.05747932266240366,0.9797958971132712,0.96
0.404,-0.2499385996688291,0.969498100478305,0.9614941093382082,0.058796337355337035,0.979385521640993,0.9591959999999999
0.40800000000000003,-0.2529366033616555,0.9687733765299796,0.960778791148576,0.0601299932335299,0.9789708882290628,0.958384
0.41200000000000003,-0.25594472928711093,0.968037870270682,0.9600584759835629,0.06148027290302488,0.97855199146494,0.957564
0.41600000000000004,-0.2589629272533697,0.9672915122286473,0.9593332199542322,0.06284715452910815,0.9781288258711119,0.956736
0.42,-0.2619911445959017,0.96653423351796,0.958603079116392,0.0642306117720754,0.9777013859047148,0.9559
0.424,-0.26502932614614416,0.9657659658684221,0.9578681094315141,0.06563061372492843,0.9772696659571503,0.955056
0.428,-0.2680774142007518,0.9649866416557832,0.9571283667266397,0.06704712485312347,0.9768336603536961,0.954204
0.432,-0.27113534849143284,0.9641961939323244,0.9563839066532718,0.06848010493646807,0.9763933633531109,0.953344
