D,scan,x,W,case,baseline_value,response_value,response_ratio,relative_to_visible,observable
3,theta,0.75,0.1,I,7.919480960573432e-05,7.919480960573432e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.75,0.1,II,7.919480960573432e-05,6.902375328760385e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.75,0.1,III-a,7.919480960573432e-05,7.919480960573432e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.75,0.1,III-b,7.919480960573432e-05,7.927345688630766e-05,1.0009930863015504,0.0009930863015503721,DeltaS_int^(2)
3,theta,0.775,0.1,vis,7.944967319675025e-05,7.944967319675025e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.775,0.1,I,7.944967319675025e-05,7.944967319675025e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.775,0.1,II,7.944967319675025e-05,6.924588453226313e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.775,0.1,III-a,7.944967319675025e-05,7.944967319675025e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.775,0.1,III-b,7.944967319675025e-05,7.952865886294439e-05,1.0009941597368002,0.0009941597368001709,DeltaS_int^(2)
3,theta,0.8,0.1,vis,7.970875654614962e-05,7.970875654614962e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8,0.1,I,7.970875654614962e-05,7.970875654614962e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8,0.1,II,7.970875654614962e-05,6.947169358817092e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.8,0.1,III-a,7.970875654614962e-05,7.970875654614962e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8,0.1,III-b,7.970875654614962e-05,7.97880797617503e-05,1.000995163129345,0.0009951631293450003,DeltaS_int^(2)
3,theta,0.8250000000000001,0.1,vis,7.997111503201082e-05,7.997111503201082e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8250000000000001,0.1,I,7.997111503201082e-05,7.997111503201082e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8250000000000001,0.1,II,7.997111503201082e-05,6.970035715199723e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.8250000000000001,0.1,III-a,7.997111503201082e-05,7.997111503201082e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8250000000000001,0.1,III-b,7.997111503201082e-05,8.005077432669736e-05,1.0009961008378419,0.0009961008378418512,DeltaS_int^(2)
3,theta,0.8500000000000001,0.1,vis,8.023580403241227e-05,8.023580403241227e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8500000000000001,0.1,I,8.023580403241227e-05,8.023580403241227e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8500000000000001,0.1,II,8.023580403241227e-05,6.993105192041207e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.8500000000000001,0.1,III-a,8.023580403241227e-05,8.023580403241227e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.8500000000000001,0.1,III-b,8.023580403241227e-05,8.031579730508295e-05,1.0009969772676344,0.0009969772676343691,DeltaS_int^(2)
3,theta,0.875,0.1,vis,8.050187892543233e-05,8.050187892543233e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.875,0.1,I,8.050187892543233e-05,8.050187892543233e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.875,0.1,II,8.050187892543233e-05,7.016295459008541e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.875,0.1,III-a,8.050187892543233e-05,8.050187892543233e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.875,0.1,III-b,8.050187892543233e-05,8.058220339858581e-05,1.0009977962530276,0.0009977962530276496,DeltaS_int^(2)
3,theta,0.9,0.1,vis,8.076839508914942e-05,8.076839508914942e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9,0.1,I,8.076839508914942e-05,8.076839508914942e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9,0.1,II,8.076839508914942e-05,7.039524185768729e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.9,0.1,III-a,8.076839508914942e-05,8.076839508914942e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9,0.1,III-b,8.076839508914942e-05,8.084904731197436e-05,1.000998561661847,0.000998561661847086,DeltaS_int^(2)
3,theta,0.925,0.1,vis,8.103440790164189e-05,8.103440790164189e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.925,0.1,I,8.103440790164189e-05,8.103440790164189e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.925,0.1,II,8.103440790164189e-05,7.062709041988766e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.925,0.1,III-a,8.103440790164189e-05,8.103440790164189e-05,1.0,0.0,DeltaS_int^(2)
