D,scan,x,W,case,baseline_value,response_value,response_ratio,relative_to_visible,observable
3,theta,0.925,0.1,III-b,8.103440790164189e-05,8.11153837104527e-05,1.0009992768616154,0.0009992768616153835,DeltaS_int^(2)
3,theta,0.9500000000000001,0.1,vis,8.129897274098819e-05,8.129897274098819e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9500000000000001,0.1,I,8.129897274098819e-05,8.129897274098819e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9500000000000001,0.1,II,8.129897274098819e-05,7.085767697335658e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.9500000000000001,0.1,III-a,8.129897274098819e-05,8.129897274098819e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9500000000000001,0.1,III-b,8.129897274098819e-05,8.138026726208593e-05,1.0009999452435485,0.0009999452435485168,DeltaS_int^(2)
3,theta,0.9750000000000001,0.1,vis,8.156114498526665e-05,8.156114498526665e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9750000000000001,0.1,I,8.156114498526665e-05,8.156114498526665e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9750000000000001,0.1,II,8.156114498526665e-05,7.108617821476398e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.9750000000000001,0.1,III-a,8.156114498526665e-05,8.156114498526665e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.9750000000000001,0.1,III-b,8.156114498526665e-05,8.164275260062204e-05,1.00100056976113,0.0010005697611299436,DeltaS_int^(2)
3,theta,1.0,0.1,vis,8.181998001255568e-05,8.181998001255568e-05,1.0,0.0,DeltaS_int^(2)
3,theta,1.0,0.1,I,8.181998001255568e-05,8.181998001255568e-05,1.0,0.0,DeltaS_int^(2)
3,theta,1.0,0.1,II,8.181998001255568e-05,7.131177084077991e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,1.0,0.1,III-a,8.181998001255568e-05,8.181998001255568e-05,1.0,0.0,DeltaS_int^(2)
3,theta,1.0,0.1,III-b,8.181998001255568e-05,8.19018943624446e-05,1.001001153384251,0.0010011533842511078,DeltaS_int^(2)
3,theta,1.0250000000000001,0.1,vis,8.207896496088628e-05,8.207896496088628e-05,1.0,0.0,DeltaS_int^(2)
3,theta,1.0250000000000001,0.1,I,8.207896496088628e-05,8.207896496088628e-05,1.0,0.0,DeltaS_int^(2)
3,theta,1.0250000000000001,0.1,II,8.207896496088628e-05,7.153749413335135e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,1.0250000000000001,0.1,III-a,8.207896496088628e-05,8.207896496088628e-05,1.0,0.0,DeltaS_int^(2)
3,theta,1.0250000000000001,0.1,III-b,8.207896496088628e-05,8.21611833534059e-05,1.0010016987002552,0.001001698700255238,DeltaS_int^(2)
3,theta,1.05,0.1,vis,8.234201925133657e-05,8.234201925133657e-05,1.0,0.0,DeltaS_int^(2)
3,theta,1.05,0.1,I,8.234201925133657e-05,8.234201925133657e-05,1.0,0.0,DeltaS_int^(2)
3,theta,1.05,0.1,II,8.234201925133657e-05,7.17667641389954e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,1.05,0.1,III-a,8.234201925133657e-05,8.234201925133657e-05,1.0,0.0,DeltaS_int^(2)
