point_key,delta2,alpha_dm,mu_X,mu_c,w0,success,message,residual_inf,temperature,mu,source,vev,rho,rho_d,epsilon,p_bar,Omega_ren,minus_p_bar,psi_abs,psi_sq,mu_minus_mu_c,accepted
d0.10_a1.2_nu0.0,0.1,1.2,0.0,3.06402436507849,0.04,True,,2.220446049250313e-15,0.21868806594626397,3.065195157494878,1.3010426069826053e-17,0.1354860421924665,0.6132913092418534,0.3680425062447576,2.433338037968497,0.8068947623960412,-0.8205771560624122,-0.8068947623960412,0.1354860421924665,0.018356467628978808,0.0011707924163881778,True
d0.10_a1.2_nu0.0,0.1,1.2,0.0,3.06402436507849,0.06,True,,3.552713678800501e-15,0.2187370063146484,3.0656091064218494,1.0842021724855044e-18,0.20327526414195562,0.6136895657453695,0.36836614122703115,2.4341694468430433,0.8071771314562284,-0.821528018634679,-0.8071771314562284,0.20327526414195562,0.04132083301198183,0.001584741343359397,True
d0.10_a1.2_nu0.0,0.1,1.2,0.0,3.06402436507849,0.08,True,,1.2212453270876722e-15,0.2188054657253244,3.0661886030680265,-4.9873299934333204e-18,0.27111992525761464,0.6142473132316033,0.36881939960284205,2.4353341387768523,0.8075726955048594,-0.8228592598949906,-0.8075726955048594,0.27111992525761464,0.07350601387169454,0.002164237989536577,True
d0.10_a1.2_nu0.5,0.1,1.2,0.5,3.114161791158756,0.02,True,,1.3322676295501878e-15,0.19289779852454736,3.1150134453490104,-3.404394821604484e-17,0.06472909165952295,0.6830656314308023,0.47385644422068735,2.673965093694278,0.8860023841716611,-0.9027343678555504,-0.8860023841716611,0.06472909165952295,0.004189855307066924,0.0008516541902543473,True
d0.10_a1.2_nu0.5,0.1,1.2,0.5,3.114161791158756,0.04,True,,7.771561172376096e-15,0.19293581589176756,3.1152779139685425,-2.424276057677588e-16,0.12947863173291368,0.6833073896087075,0.4740527049637034,2.6744918648437306,0.8861800110407785,-0.9034783905774852,-0.8861800110407785,0.12947863173291368,0.016764716075427483,0.0011161228097864573,True
d0.10_a1.2_nu0.5,0.1,1.2,0.5,3.114161791158756,0.06,True,,6.8833827526759706e-15,0.19299914559725,3.115718674930806,5.117434254131581e-17,0.1942690718515682,0.6837104445579314,0.4743799138757007,2.6753701885400005,0.8864761829208874,-0.9047185646670954,-0.8864761829208874,0.1942690718515682,0.037740472278069766,0.0015568837720500994,True
d0.10_a1.2_nu0.5,0.1,1.2,0.5,3.114161791158756,0.08,True,,4.440892098500626e-16,0.1930877368853781,3.1163357148569313,9.324138683375338e-18,0.2591208523123416,0.6842749458271888,0.47483820617127415,2.676600635824798,0.8868910955698084,-0.9064549511186654,-0.8868910955698084,0.2591208523123416,0.06714361610307436,0.002173923698175262,True
d0.10_a1.2_nu1.0,0.1,1.2,1.0,3.154083988698336,0.02,True,,2.220446049250313e-15,0.1619580256774148,3.1548507908450802,-1.802486111757151e-16,0.06079686140651971,0.7510321714794269,0.5786363067064998,2.963558501543048,0.9812178067368222,-1.0020845326215668,-0.9812178067368222,0.06079686140651971,0.0036962583568835652,0.0007668021467441832,True
d0.10_a1.2_nu1.0,0.1,1.2,1.0,3.154083988698336,0.04,True,,2.5757174171303632e-14,0.1620055249817732,3.155135185030176,-8.53267109746092e-16,0.12161674323184082,0.7512751413038589,0.5788331130951974,2.964116260629453,0.9814045596322103,-1.0030022186794596,-0.9814045596322103,0.12161674323184082,0.014790632234319501,0.001051196331840032,True
d0.10_a1.2_nu1.0,0.1,1.2,1.0,3.154083988698336,0.06,True,,2.893241202173158e-13,0.1620846490573776,3.1556091485165774,2.4807629908640827e-14,0.18248265960965632,0.7516802130316776,0.5791612331141609,2.965046261484531,0.981715951962542,-1.0045318141079562,-0.981715951962542,0.18248265960965632,0.033299921058213694,0.0015251598182413062,True
d0.10_a1.2_nu1.0,0.1,1.2,1.0,3.154083988698336,0.08,True,,4.2743586448068527e-14,0.16219533493447927,3.1562726576635165,6.999826066000914e-15,0.24341762029718542,0.7522476038100078,0.5796208565269038,2.9663491231331136,0.9821521945796121,-1.0066736224456077,-0.9821521945796121,0.24341762029718542,0.059252137871144736,0.0021886689651804403,True
d0.10_a1.2_nu1.5,0.1,1.2,1.5,3.180408635230976,0.02,True,,4.440892098500626e-16,0.1263538358171899,3.181076961617476,6.808789643208968e-17,0.05568626514207255,0.8162753302433698,0.6817818631096056,3.2968046801042874,1.090790270260186,-1.116407326646351,-1.090790270260186,0.05568626514207255,0.003100960125473204,0.000668326386499718,True
d0.10_a1.2_nu1.5,0.1,1.2,1.5,3.180408635230976,0.04,True,,1.354472090042691e-14,0.12641197828620887,3.181387511127752,3.4510155150213606e-16,0.11139922379780512,0.8165173460966986,0.6819770912357985,3.297398403776242,1.090987724794104,-1.1174952051880815,-1.090987724794104,0.11139922379780512,0.012409787062753471,0.0009788758967759215,True
d0.10_a1.2_nu1.5,0.1,1.2,1.5,3.180408635230976,0.06,True,,1.2212453270876722e-15,0.12650882641354919,3.18190505969604,2.5153490401663703e-17,0.1671655555671447,0.8169208538556644,0.6823026034472666,3.2983883840815906,1.0913169658388142,-1.1193085186940022,-1.0913169658388142,0.1671655555671447,0.027944322968072147,0.001496424465063928,True
d0.10_a1.2_nu1.5,0.1,1.2,1.5,3.180408635230976,0.08,True,,4.296563105299356e-14,0.12664429644483013,3.182629560121459,1.0214268666985937e-14,0.2230119196748217,0.8174861037469832,0.6827586211328547,3.299775288208366,1.0917782199758221,-1.1218476649248352,-1.0917782199758221,0.2230119196748217,0.049734316317049124,0.002220924890482756,True
