D,d,theta,z,mu,F_aniso,F_iso,DeltaF,T_deltaF,quad_err,success,solver_message
3,1,4.0,1.0,12.10834010457598,-293.23555195408545,-293.2238001761661,-0.011751777919357664,-0.011751236958948424,8.705497896126582e-06,True,The algorithm converged to the desired accuracy.
3,1,4.0,1.5,18.117408452577553,-738.5743501826644,-738.5411003344393,-0.03324984822506849,-0.033237600491332155,8.489117515005085e-06,True,The algorithm converged to the desired accuracy.
3,1,4.0,2.0,10.128662678533654,-256.4873434720791,-256.4745191388014,-0.012824333277706046,-0.012823630278938396,2.3174431090441927e-07,True,The algorithm converged to the desired accuracy.
3,1,4.0,2.5,12.648055291672383,-439.95067421512,-439.9265823183049,-0.024091896815093605,-0.024087236761500215,7.310452950297364e-05,True,The algorithm converged to the desired accuracy.
3,1,4.0,3.0,15.145101514475666,-688.163367804794,-688.1222996513193,-0.04106815347472548,-0.04104508061720664,0.0001859477360733608,True,The algorithm converged to the desired accuracy.
3,1,4.0,4.0,20.061925442765983,-1408.7816076674342,-1408.6829836488537,-0.09862401858049452,-0.09830549580968456,1.7217846552064486e-05,True,The algorithm converged to the desired accuracy.
3,1,4.0,5.0,24.885302485929486,-2477.3112400140863,-2477.113119264833,-0.19812074925312118,-0.19556861146794016,0.00028001528321652813,True,The algorithm converged to the desired accuracy.
4,2,0.0,1.0,3.7042237332956383,-7.000721142916664,-6.860636733155338,-0.14008440976132608,-0.13917522361664347,7.111659134782962e-08,True,The algorithm converged to the desired accuracy.
4,2,0.0,1.5,7.096367411640661,-37.8765217126242,-37.768822830746686,-0.10769888187751775,-0.10728440325282637,1.8430876143277555e-06,True,The algorithm converged to the desired accuracy.
4,2,0.0,2.0,10.114361446200695,-102.34329037195423,-102.30030746439101,-0.04298290756321421,-0.04295645636881738,1.9963463420563654e-05,True,The algorithm converged to the desired accuracy.
4,2,0.0,2.5,12.868561252264884,-207.01671752079807,-206.99983587911646,-0.016881641681607107,-0.016880038165693424,0.0001397537408386884,True,The algorithm converged to the desired accuracy.
4,2,0.0,3.0,15.46783910717326,-358.894694031974,-358.88106996809773,-0.013624063876250148,-0.013623220994762826,0.0007494826868885696,True,The algorithm converged to the desired accuracy.
4,2,0.0,4.0,20.404470101642058,-832.7182239953614,-832.6848002576094,-0.033423737752059424,-0.03341129691028098,0.00010342571339759868,True,The algorithm converged to the desired accuracy.
4,2,0.0,5.0,25.149256950234136,-1581.2917280568788,-1581.21281287225,-0.0789151846288405,-0.07875177411062895,0.00046020278081918,True,The algorithm converged to the desired accuracy.
4,2,0.5,1.0,4.004814215760369,-16.04527571970737,-16.03853690275634,-0.0067388169510280704,-0.006738714945939934,3.131089741790355e-06,True,The algorithm converged to the desired accuracy.
4,2,0.5,1.5,6.889195902012731,-59.33111350886283,-59.32627522038626,-0.004838288476570085,-0.004838250723701542,4.005419261687848e-05,True,The algorithm converged to the desired accuracy.
4,2,0.5,2.0,9.685504349717437,-140.71883430292408,-140.7134917625931,-0.005342540330985912,-0.005342489501324711,0.0002935837913579098,True,The algorithm converged to the desired accuracy.
4,2,0.5,2.5,12.375632518635095,-268.03316106910756,-268.02349041352227,-0.009670655585296117,-0.009670354124911783,0.001571843876744694,True,The algorithm converged to the desired accuracy.
4,2,0.5,3.0,14.976520793564536,-448.6103287746784,-448.59235016014185,-0.01797861453655969,-0.017976677707637567,1.3317110829170163e-05,True,The algorithm converged to the desired accuracy.
4,2,0.5,4.0,19.98337943767295,-998.3884808720255,-998.3386343750253,-0.04984649700020327,-0.04980525390384581,0.0002982765521271913,True,The algorithm converged to the desired accuracy.
4,2,0.5,5.0,24.816931900499654,-1847.7511804378103,-1847.640326862112,-0.11085357569822918,-0.11040172133106356,1.355206998143732e-05,True,The algorithm converged to the desired accuracy.
4,2,1.0,1.0,4.5293357206127345,-30.773491459653926,-30.77232310502772,-0.00116835462620557,-0.0011683540945840465,6.421871693598757e-05,True,The algorithm converged to the desired accuracy.
4,2,1.0,1.5,7.165374884198363,-89.85278704939746,-89.84954515442624,-0.0032418949712251788,-0.0032418836139606376,0.0005269280284172506,True,The algorithm converged to the desired accuracy.
4,2,1.0,2.0,9.801048412862174,-192.12879978214232,-192.1210999825363,-0.007699799606029956,-0.007699647443852827,5.703870679306996e-06,True,The algorithm converged to the desired accuracy.
4,2,1.0,2.5,12.397449780078036,-345.83324012927386,-345.81771236150314,-0.015527767770720402,-0.015526519916237148,1.9303277750059092e-05,True,The algorithm converged to the desired accuracy.
